model,repeat,k,full,top_k
uni2,34,100,0.5,0.5
uni2,34,200,0.5,0.5
uni2,34,500,0.5,0.5476190476190477
uni2,34,1000,0.5,0.5
uni2,35,20,0.4603174603174603,0.373015873015873
uni2,35,50,0.4603174603174603,0.4047619047619047
uni2,35,100,0.4603174603174603,0.4523809523809524
uni2,35,200,0.4603174603174603,0.4047619047619047
uni2,35,500,0.4603174603174603,0.4603174603174603
uni2,35,1000,0.4603174603174603,0.4603174603174603
uni2,36,20,0.5079365079365079,0.15079365079365079
uni2,36,50,0.5079365079365079,0.4047619047619048
uni2,36,100,0.5079365079365079,0.5555555555555555
uni2,36,200,0.5079365079365079,0.5079365079365079
uni2,36,500,0.5079365079365079,0.5079365079365079
uni2,36,1000,0.5079365079365079,0.5079365079365079
uni2,37,20,0.5079365079365079,0.39682539682539675
uni2,37,50,0.5079365079365079,0.5634920634920634
uni2,37,100,0.5079365079365079,0.611111111111111
uni2,37,200,0.5079365079365079,0.611111111111111
uni2,37,500,0.5079365079365079,0.611111111111111
uni2,37,1000,0.5079365079365079,0.5634920634920635
uni2,38,20,0.4523809523809524,0.5158730158730159
uni2,38,50,0.4523809523809524,0.5634920634920635
uni2,38,100,0.4523809523809524,0.6587301587301587
uni2,38,200,0.4523809523809524,0.611111111111111
uni2,38,500,0.4523809523809524,0.5555555555555556
uni2,38,1000,0.4523809523809524,0.4523809523809524
uni2,39,20,0.611111111111111,0.30158730158730157
uni2,39,50,0.611111111111111,0.39682539682539675
uni2,39,100,0.611111111111111,0.5634920634920635
