model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,16,1500,0.5714285714285714,0.5714285714285714,0.5070889894419307,0.5070889894419307
gigapath,17,20,0.34920634920634913,0.4047619047619048,0.3581196581196581,0.3968253968253968
gigapath,17,50,0.34920634920634913,0.4523809523809524,0.3581196581196581,0.45384615384615384
gigapath,17,100,0.34920634920634913,0.3968253968253968,0.3581196581196581,0.40277777777777773
gigapath,17,200,0.34920634920634913,0.3412698412698412,0.3581196581196581,0.3412698412698412
gigapath,17,500,0.34920634920634913,0.39682539682539675,0.3581196581196581,0.402930402930403
gigapath,17,1000,0.34920634920634913,0.34920634920634913,0.3581196581196581,0.3581196581196581
gigapath,17,1500,0.34920634920634913,0.34920634920634913,0.3581196581196581,0.3581196581196581
gigapath,18,20,0.5634920634920634,0.4523809523809524,0.5346736596736598,0.4678571428571428
gigapath,18,50,0.5634920634920634,0.4603174603174603,0.5346736596736598,0.45104895104895104
gigapath,18,100,0.5634920634920634,0.4523809523809524,0.5346736596736598,0.45054945054945056
gigapath,18,200,0.5634920634920634,0.5634920634920634,0.5346736596736598,0.5416666666666666
gigapath,18,500,0.5634920634920634,0.5079365079365079,0.5346736596736598,0.494017094017094
gigapath,18,1000,0.5634920634920634,0.5634920634920634,0.5346736596736598,0.5346736596736598
gigapath,18,1500,0.5634920634920634,0.5634920634920634,0.5346736596736598,0.5346736596736598
gigapath,19,20,0.5634920634920634,0.24603174603174602,0.5488215488215489,0.24603174603174602
gigapath,19,50,0.5634920634920634,0.35714285714285715,0.5488215488215489,0.3499702911467617
gigapath,19,100,0.5634920634920634,0.4047619047619048,0.5488215488215489,0.42023809523809524
gigapath,19,200,0.5634920634920634,0.4603174603174603,0.5488215488215489,0.45942684766214176
gigapath,19,500,0.5634920634920634,0.4603174603174603,0.5488215488215489,0.4619047619047619
gigapath,19,1000,0.5634920634920634,0.5634920634920634,0.5488215488215489,0.5488215488215489
gigapath,19,1500,0.5634920634920634,0.5634920634920634,0.5488215488215489,0.5488215488215489
gigapath,20,20,0.4603174603174603,0.34920634920634924,0.4444444444444444,0.34877622377622375
gigapath,20,50,0.4603174603174603,0.4523809523809524,0.4444444444444444,0.4606643356643357
gigapath,20,100,0.4603174603174603,0.4523809523809524,0.4444444444444444,0.4523809523809524
gigapath,20,200,0.4603174603174603,0.34920634920634913,0.4444444444444444,0.36594516594516585
gigapath,20,500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,20,1000,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,20,1500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,21,20,0.4603174603174603,0.35714285714285715,0.44979203802733214,0.3412698412698412
gigapath,21,50,0.4603174603174603,0.35714285714285715,0.44979203802733214,0.34722222222222227
gigapath,21,100,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.4444444444444444
gigapath,21,200,0.4603174603174603,0.34920634920634913,0.44979203802733214,0.3581196581196581
gigapath,21,500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,21,1000,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,21,1500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,22,20,0.5634920634920635,0.38888888888888884,0.5445632798573975,0.40277777777777773
gigapath,22,50,0.5634920634920635,0.4444444444444444,0.5445632798573975,0.45054945054945056
gigapath,22,100,0.5634920634920635,0.4523809523809524,0.5445632798573975,0.45384615384615384
