model,repeat,fold,accuracy,balanced_accuracy,macro_f1
uni_v2,41,5,0.5,0.5,0.5
uni_v2,42,1,0.5,0.5,0.38888888888888884
uni_v2,42,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,42,3,0.25,0.3333333333333333,0.13333333333333333
uni_v2,42,4,0.5,0.6666666666666666,0.5
uni_v2,42,5,0.25,0.3333333333333333,0.16666666666666666
uni_v2,43,1,0.75,0.8333333333333334,0.7777777777777777
uni_v2,43,2,0.5,0.3333333333333333,0.26666666666666666
uni_v2,43,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,43,4,0.25,0.3333333333333333,0.16666666666666666
uni_v2,43,5,0.5,0.5,0.38888888888888884
uni_v2,44,1,0.5,0.6666666666666666,0.5
uni_v2,44,2,0.75,0.6666666666666666,0.6
uni_v2,44,3,0.5,0.5,0.4444444444444444
uni_v2,44,4,0.5,0.5,0.38888888888888884
uni_v2,44,5,0.25,0.16666666666666666,0.2222222222222222
uni_v2,45,1,0.5,0.5,0.38888888888888884
uni_v2,45,2,0.5,0.5,0.38888888888888884
uni_v2,45,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,45,4,0.5,0.5,0.38888888888888884
uni_v2,45,5,0.25,0.3333333333333333,0.3333333333333333
uni_v2,46,1,0.75,0.6666666666666666,0.6
uni_v2,46,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,46,3,0.5,0.6666666666666666,0.4444444444444444
uni_v2,46,4,0.25,0.3333333333333333,0.16666666666666666
uni_v2,46,5,0.75,0.6666666666666666,0.6
uni_v2,47,1,0.5,0.5,0.38888888888888884
uni_v2,47,2,0.75,0.6666666666666666,0.5555555555555555
uni_v2,47,3,0.5,0.5,0.38888888888888884
uni_v2,47,4,0.25,0.16666666666666666,0.16666666666666666
uni_v2,47,5,0.5,0.5,0.38888888888888884
uni_v2,48,1,0.75,0.8333333333333334,0.7777777777777777
uni_v2,48,2,0.25,0.16666666666666666,0.16666666666666666
uni_v2,48,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,48,4,0.5,0.5,0.5
uni_v2,48,5,0.25,0.3333333333333333,0.16666666666666666
uni_v2,49,1,0.25,0.16666666666666666,0.2222222222222222
uni_v2,49,2,0.5,0.3333333333333333,0.3333333333333333
uni_v2,49,3,0.25,0.16666666666666666,0.13333333333333333
uni_v2,49,4,0.25,0.3333333333333333,0.16666666666666666
